id,label
344647,8
350142,1
331826,1
319898,8
348234,4
337107,1
344591,10
332688,8
331896,3
338650,8
334653,8
323842,9
346260,1
324380,4
308239,8
310782,10
337050,8
312428,2
323978,8
336537,8
319808,8
324774,9
306098,8
330314,4
346592,8
344805,1
319922,8
324014,6
314884,7
319351,8
332597,2
343853,8
336409,9
337731,7
329933,8
321168,2
320049,8
305779,6
309157,8
321751,4
350192,9
332931,8
335738,8
320493,9
338279,10
307613,1
329101,8
308993,3
310573,4
329716,7
323078,8
310105,4
307046,8
346806,8
338527,8
348917,8
344857,8
319409,8
313572,3
336874,8
315400,8
330535,8
332631,8
305159,8
333196,1
313776,1
319449,8
307765,8
307870,10
338037,8
331998,8
307587,8
320337,8
324879,9
314429,8
337473,3
349765,8
344432,2
323330,9
321559,1
306535,1
335647,8
323252,9
324762,9
309148,8
304961,8
313230,8
332307,8
323196,9
309034,8
321339,7
312916,8
338307,8
320233,9
308230,8
310796,6
314573,8
332588,9
322019,8
337618,8
324375,8
308790,8
323285,9
333083,8
336525,8
323368,9
324765,9
324755,9
331986,2
349741,1
324371,8
304981,8
319637,1
337270,8
321322,10
307702,8
320025,8
329572,8
330670,8
332753,2
311585,8
323140,9
309504,6
307905,3
324909,9
306443,1
322387,9
349176,3
326082,9
309564,8
332477,8
306988,8
310933,8
313608,8
343830,8
337757,8
320069,1
336606,9
335970,3
333290,3
323263,9
307761,3
329321,8
322343,9
322453,8
329575,4
307223,8
317667,8
315674,8
349586,4
319635,1
323390,9
335637,5
335748,8
337666,8
319608,7
329262,8
337175,8
310068,2
331974,9
329492,8
324798,9
319612,8
306547,5
310707,2
331996,3
346473,3
322192,8
325460,10
322002,9
332468,9
338926,8
334768,8
312077,4
309681,3
314009,8
321541,3
323858,8
330105,8
306876,1
314301,1
314192,8
321286,1
348887,7
305054,8
310130,1
314140,8
321856,8
337740,1
321169,1
305570,4
323857,1
330874,6
324625,2
322012,10
307137,1
325223,9
324296,1
324280,1
332004,8
307680,8
309130,1
311058,4
328868,7
305205,1
334752,8
320554,8
321970,3
338207,8
309107,1
333340,8
338886,8
324580,3
310516,8
311918,4
324934,9
305148,3
321313,8
307471,1
314373,8
333446,8
324372,8
305436,8
333047,8
321528,5
310073,8
321593,4
312573,8
327769,9
307450,1
337860,8
332697,8
332896,8
323202,9
321563,8
310649,1
321582,4
305046,8
324150,1
307173,5
331878,8
330841,8
324631,8
307357,4
337438,8
323130,9
321905,8
308631,8
304849,1
305894,1
338804,5
332754,8
309826,8
324672,9
321911,8
323295,9
337114,8
305258,1
327770,9
315361,8
324916,9
331811,8
324844,9
349701,5
344444,10
319999,5
332460,9
344241,10
324840,9
330059,8
324904,9
323164,9
304846,1
309512,8
330459,8
306581,8
335799,8
306576,1
311298,8
324866,9
324152,1
324965,9
312099,8
305807,4
322860,8
334065,8
337936,8
312522,8
337168,5
336496,8
330794,8
325293,9
304884,8
337147,8
314518,8
320335,8
311453,8
330831,8
311353,8
332008,10
320002,9
320483,9
324661,9
324404,10
336392,8
317807,8
333316,3
344570,10
337498,8
330616,8
315577,7
306489,8
330424,8
319354,8
324002,4
324684,8
335739,8
312043,1
317784,8
322654,4
321277,1
322658,8
323814,9
316533,8
336957,8
304939,1
323829,9
320434,9
338065,8
305725,8
329836,8
312444,5
338698,9
305030,8
312611,10
333096,8
321294,8
336428,9
337046,8
337370,1
322538,8
332262,9
322320,9
321170,8
319988,6
315279,8
310484,4
307746,8
322592,8
331810,8
346959,8
325447,9
307710,8
324025,4
322867,1
313576,4
313715,8
315347,8
314091,8
309140,7
309480,1
323093,2
321961,1
323835,9
327807,9
324426,8
331089,9
322577,8
311132,8
308085,8
330564,8
330581,3
323975,8
333555,9
312952,1
322497,8
324147,1
322399,9
321534,3
308986,3
324605,3
319732,8
330591,1
332168,8
313345,10
329310,7
321720,3
323966,10
323261,9
323251,9
323129,9
314008,8
330864,8
315634,1
324146,10
324730,9
323331,9
344897,3
338798,1
318778,8
345136,8
313202,8
337532,8
325918,9
320008,10
323250,9
